sex,athlete,id,class,grit
F,N,1,nct,4.375
F,N,1,plebe,4
F,N,1,yearling,4.16666666666667
F,N,2,nct,3.25
F,N,2,plebe,3.5
F,N,2,yearling,3
F,Y,3,nct,4
F,Y,3,plebe,4.83333333333333
F,Y,3,yearling,4.33333333333333
F,N,4,nct,3
F,N,4,plebe,3.5
F,N,4,yearling,4
F,N,5,nct,3.375
F,N,5,plebe,4.16666666666667
F,N,5,yearling,4.5
F,N,6,nct,4.25
F,N,6,plebe,3.66666666666667
F,N,6,yearling,3.33333333333333
F,N,7,nct,3.5
F,N,7,plebe,2.66666666666667
F,N,7,yearling,4.16666666666667
F,N,8,nct,4.25
F,N,8,plebe,4.5
F,N,8,yearling,4.5
F,Y,9,nct,4
F,Y,9,plebe,3.83333333333333
F,Y,9,yearling,4.33333333333333
F,N,10,nct,3.375
F,N,10,plebe,3.83333333333333
F,N,10,yearling,3.66666666666667
F,N,11,nct,3.625
F,N,11,plebe,3.66666666666667
F,N,11,yearling,3.66666666666667
F,N,12,nct,3.25
F,N,12,plebe,3.66666666666667
F,N,12,yearling,3.83333333333333
F,N,13,nct,2.625
F,N,13,plebe,2.5
F,N,13,yearling,3
F,N,14,nct,2.625
F,N,14,plebe,2.5
F,N,14,yearling,2.5
F,N,15,nct,2.5
F,N,15,plebe,3.5
F,N,15,yearling,2.33333333333333
F,N,16,nct,3.375
F,N,16,plebe,3.83333333333333
F,N,16,yearling,4.16666666666667
F,Y,17,nct,2.875
F,Y,17,plebe,2.83333333333333
F,Y,17,yearling,3.16666666666667
F,N,18,nct,2.5
F,N,18,plebe,3
F,N,18,yearling,2.66666666666667
F,N,19,nct,3.5
F,N,19,plebe,4.16666666666667
F,N,19,yearling,4.16666666666667
F,N,20,nct,2.875
F,N,20,plebe,3.66666666666667
F,N,20,yearling,3
F,N,21,nct,4.125
F,N,21,plebe,3.16666666666667
F,N,21,yearling,3.83333333333333
F,N,22,nct,3.375
F,N,22,plebe,3.33333333333333
F,N,22,yearling,4
F,N,23,nct,4.125
F,N,23,plebe,4.16666666666667
F,N,23,yearling,4.5
F,N,24,nct,4.125
F,N,24,plebe,4.66666666666667
F,N,24,yearling,4.5
F,N,25,nct,3.375
F,N,25,plebe,3.5
F,N,25,yearling,3.33333333333333
F,N,26,nct,3.25
F,N,26,plebe,3.33333333333333
F,N,26,yearling,4
F,N,27,nct,4.5
F,N,27,plebe,4.33333333333333
F,N,27,yearling,4.16666666666667
F,Y,28,nct,3.25
F,Y,28,plebe,3.33333333333333
F,Y,28,yearling,3.66666666666667
F,N,29,nct,3.5
F,N,29,plebe,3.33333333333333
F,N,29,yearling,3.16666666666667
F,N,30,nct,3.875
